AHST114,"[b'SART' b'DMST' b'WRTG' b'ENGL' b'DANC' b'FMST' b'HIST' b'AHST' b'GSWS'
 b'CSC']","[6.8848085e-01 3.9475059e-04 2.7339015e-04 2.1170241e-04 1.1530331e-04
 9.1664988e-05 4.0325067e-05 2.8568955e-05 2.3254443e-05 1.6704702e-05]"
AHST127,"[b'AHST' b'ENGL' b'HIST' b'CLTR' b'WRTG' b'GSWS' b'AAAS' b'GRMN' b'ANTH'
 b'DANC']","[0.9281751  0.016894   0.00824848 0.00389322 0.00250103 0.00153268
 0.00133597 0.00125413 0.00113471 0.00111971]"
AHST128,"[b'AHST' b'ENGL' b'GSWS' b'CLTR' b'HIST' b'PSCI' b'AAAS' b'FMST' b'DMST'
 b'MUSC']","[0.9343819  0.04778091 0.03355204 0.02915344 0.01618666 0.01599718
 0.01237389 0.01232381 0.01188088 0.00750412]"
AHST136,"[b'ENGL' b'MUSC' b'WRTG' b'ECE' b'HIST' b'AHST' b'CSC' b'PHLT' b'EESC'
 b'PSYC']","[0.9375613  0.16339612 0.12487893 0.10623988 0.09706786 0.09260909
 0.08273338 0.06611359 0.06559189 0.06469069]"
AHST140,"[b'AHST' b'ATHS' b'CLST' b'PSCI' b'HIST' b'CSC' b'RELC' b'CLTR' b'ENGL'
 b'WRTG']","[0.79940355 0.5594438  0.41043204 0.00754863 0.00605488 0.00373943
 0.0034025  0.0031402  0.00307291 0.00264982]"
AHST172,"[b'AHST' b'FMST' b'GSWS' b'ENGL' b'HIST' b'WRTG' b'CLTR' b'AAAS' b'MUSC'
 b'PSCI']","[7.0043874e-01 6.9299150e-01 6.9271314e-01 3.4475110e-03 1.2089158e-03
 4.9161224e-04 4.2917187e-04 2.3890199e-04 2.2917344e-04 1.9127110e-04]"
AHST183,"[b'ENGL' b'GSWS' b'AHST' b'SART' b'WRTG' b'RELC' b'ANTH' b'DANC' b'AAAS'
 b'HIST']","[0.02012528 0.00311589 0.00250579 0.00127692 0.00120907 0.00116947
 0.00076192 0.00066786 0.00038871 0.00035192]"
AHST199,"[b'CLST' b'AHST' b'HIST' b'ENGL' b'MUSC' b'ECON' b'MATH' b'CLTR' b'RELC'
 b'PSCI']","[0.80937093 0.8005638  0.78694695 0.0055108  0.00514797 0.00463984
 0.00319698 0.00304968 0.00304898 0.00297579]"
AHST208,"[b'AHST' b'HIST' b'PSCI' b'ENGL' b'GSWS' b'AAAS' b'WRTG' b'RELC' b'ANTH'
 b'CLTR']","[9.2597538e-01 2.1297060e-02 5.2483156e-03 4.3154908e-03 2.3161483e-03
 2.0263609e-03 1.3478898e-03 9.5630845e-04 7.6235353e-04 4.3819338e-04]"
AHST215,"[b'AHST' b'HIST' b'GSWS' b'ENGL' b'PSCI' b'ANTH' b'CLTR' b'WRTG' b'CASC'
 b'PHIL']","[0.9729173  0.01708084 0.01559094 0.01253204 0.0101206  0.00883322
 0.00850376 0.00824136 0.0072692  0.00677214]"
AHST219,"[b'AHST' b'ENGL' b'RELC' b'GSWS' b'HIST' b'CLTR' b'ANTH' b'PHIL' b'PSCI'
 b'CASC']","[0.95169747 0.02673414 0.01595399 0.01366652 0.01022445 0.00896813
 0.0056227  0.0055426  0.00414234 0.00357821]"
AHST225,"[b'CLST' b'AHST' b'ENGL' b'HIST' b'ECON' b'CLTR' b'MATH' b'CASC' b'MUSC'
 b'RELC']","[0.943393   0.88476217 0.11761956 0.07675578 0.07378335 0.07354666
 0.05968935 0.0524648  0.05116739 0.0487601 ]"
AHST231,"[b'AHST' b'SART' b'ENGL' b'MUSC' b'HIST' b'DANC' b'FMST' b'CSC' b'RELC'
 b'EESC']","[0.8835703  0.80069536 0.03325292 0.02312418 0.01608736 0.01455901
 0.00773752 0.00723679 0.00584334 0.00579053]"
AHST232,"[b'ANTH' b'AHST' b'ENGL' b'HIST' b'PSCI' b'MUSC' b'AAAS' b'WRTG' b'CLTR'
 b'GSWS']","[0.85441476 0.8539098  0.03880057 0.02268463 0.01676523 0.01018205
 0.00915072 0.00857589 0.0083152  0.00634209]"
AHST240,"[b'FMST' b'AAAS' b'AHST' b'ENGL' b'GSWS' b'HIST' b'PSCI' b'CLTR' b'RELC'
 b'MUSC']","[0.81306    0.8067543  0.7900324  0.01152743 0.00509612 0.00430174
 0.00399926 0.00350701 0.00340918 0.00274853]"
AHST244,"[b'AHST' b'ENGL' b'WRTG' b'AAAS' b'RELC' b'GSWS' b'MUSC' b'HIST' b'CLTR'
 b'FREN']","[9.1229290e-01 1.2224192e-02 2.4800790e-03 8.9651346e-04 8.1774860e-04
 8.1251800e-04 7.1297650e-04 6.0559099e-04 3.0623318e-04 2.1296306e-04]"
AHST259,"[b'AHST' b'ENGL' b'WRTG' b'RELC' b'DANC' b'HIST' b'CLTR' b'PSCI' b'MUSC'
 b'CASC']","[9.2254323e-01 5.3755934e-03 2.3489266e-03 1.8296097e-03 5.7490618e-04
 5.4162758e-04 4.6564339e-04 4.6281418e-04 4.5642685e-04 3.3077304e-04]"
AHST260,"[b'CLTR' b'JPNS' b'AHST' b'ENGL' b'HIST' b'MUSC' b'WRTG' b'GSWS' b'FMST'
 b'DANC']","[7.0194858e-01 6.6386044e-01 6.0938728e-01 1.2174839e-03 3.2758960e-04
 3.2214430e-04 3.1002975e-04 7.8577432e-05 7.1528957e-05 5.3801246e-05]"
AHST275,"[b'AHST' b'ENGL' b'WRTG' b'HIST' b'CLTR' b'AAAS' b'GSWS' b'RELC' b'DANC'
 b'ANTH']","[9.0335840e-01 7.0300838e-04 2.4267528e-04 1.7279779e-04 1.6267327e-04
 7.9588637e-05 4.6925616e-05 3.7012636e-05 2.8887020e-05 2.1159951e-05]"
AHST282,"[b'DMST' b'HIST' b'ENGL' b'AHST' b'GSWS' b'RELC' b'MUSC' b'CASC' b'DANC'
 b'WRTG']","[0.9419187  0.0534879  0.03904948 0.03457883 0.03388677 0.02704556
 0.02326453 0.02170924 0.01961036 0.01918338]"
AHST286A,"[b'SUST' b'ATHS' b'AHST' b'HIST' b'GSWS' b'PSCI' b'ENGL' b'CASC' b'RELC'
 b'CLTR']","[0.77813333 0.77591693 0.7613681  0.01018678 0.00924339 0.00802913
 0.0063269  0.00521974 0.00383965 0.00356281]"
AHST300,"[b'AHST' b'SART' b'ENGL' b'MUSC' b'WRTG' b'DMST' b'DANC' b'CASC' b'HIST'
 b'PSCI']","[0.8765322  0.85397124 0.1052246  0.01610553 0.01338595 0.01235962
 0.01157231 0.01014192 0.0089574  0.00877498]"
AHST305K,"[b'AHST' b'SART' b'ENGL' b'WRTG' b'CASC' b'DANC' b'HIST' b'PSCI' b'GSWS'
 b'CLTR']","[7.3247182e-01 7.0058614e-01 1.0728955e-02 3.2305953e-03 3.7247501e-04
 3.4874771e-04 2.4365251e-04 1.9936058e-04 1.5980203e-04 1.4587898e-04]"
AHST346,"[b'AHST' b'EHUM' b'ENGL' b'HIST' b'CSC' b'CLTR' b'CASC' b'PHIL' b'LING'
 b'WRTG']","[7.7980256e-01 6.7909127e-01 2.6391463e-03 1.0504134e-03 2.9930571e-04
 2.3835005e-04 1.9157464e-04 1.8007126e-04 1.7894895e-04 1.6838056e-04]"
AHST392A,"[b'AHST' b'GRMN' b'ENGL' b'CLTR' b'CSC' b'GSWS' b'RELC' b'JPNS' b'RUSS'
 b'CLST']","[0.8234966  0.7481544  0.67782456 0.66045207 0.65872955 0.6388374
 0.4788166  0.44882166 0.43080842 0.42400944]"
AHST393,"[b'AHST' b'ENGL' b'BCSC' b'BIOL' b'MATH' b'EESC' b'PHIL' b'MUSC' b'HIST'
 b'ECE']","[0.77062    0.55521625 0.47668186 0.36252597 0.35375428 0.3493108
 0.34135422 0.33669126 0.31178617 0.3065484 ]"
AHST395,"[b'AHST' b'GRMN' b'ENGL' b'CLTR' b'CSC' b'GSWS' b'RELC' b'JPNS' b'RUSS'
 b'CLST']","[0.8234966  0.7481544  0.67782456 0.66045207 0.65872955 0.6388374
 0.4788166  0.44882166 0.43080842 0.42400944]"
AHST408,"[b'AHST' b'HIST' b'PSCI' b'ENGL' b'GSWS' b'AAAS' b'WRTG' b'RELC' b'ANTH'
 b'CLTR']","[9.2597538e-01 2.1297060e-02 5.2483156e-03 4.3154908e-03 2.3161483e-03
 2.0263609e-03 1.3478898e-03 9.5630845e-04 7.6235353e-04 4.3819338e-04]"
AHST415,"[b'AHST' b'HIST' b'GSWS' b'ENGL' b'PSCI' b'CLTR' b'CASC' b'WRTG' b'PHIL'
 b'ANTH']","[0.97337604 0.01838318 0.01665354 0.01422358 0.00921011 0.00777873
 0.00631741 0.00590846 0.00534988 0.00533769]"
AHST419,"[b'AHST' b'ENGL' b'GSWS' b'HIST' b'RELC' b'CLTR' b'PHIL' b'ANTH' b'PSCI'
 b'CASC']","[0.9662623  0.02992008 0.01936028 0.01359832 0.01281647 0.00925702
 0.00841899 0.00820433 0.00634946 0.00535988]"
